AEP,95.0% CI,5.0% CI,Posterior Predictive,Posterior Mode
0.000001,9.62E+02,429.7743029,9.00E+02,571.7251887
0.000002,9.04E+02,423.1161674,8.29E+02,553.3957205
0.000005,8.34E+02,413.2941881,7.45E+02,529.230527
0.00001,7.84E+02,405.8019797,6.89E+02,510.9826538
0.00002,7.35E+02,398.0287162,6.38E+02,492.7456544
0.00005,6.74E+02,386.455955,5.78E+02,468.6228444
0.0001,630.3283391,377.0441787,536.9037672,450.3346988
0.0002,589.1998753,367.4226166,499.621124,431.981859
0.0005,536.4865926,354.1951941,455.0889726,407.5625546
0.001,498.0351823,343.0686303,424.5449219,388.9137009
0.002,461.2218073,331.2636038,396.2274912,370.0492974
0.005,415.11721,314.0660362,361.6745752,344.6468027
0.01,381.7055034,299.8460846,337.0719395,324.9365425
0.02,349.0785746,284.4528709,313.2521897,304.6213549
0.05,307.6464503,261.1465888,281.8410459,276.3896404
0.1,276.1765913,240.8619672,257.0956694,253.4018588
0.2,244.4172565,217.3839293,230.159173,227.9882436
0.3,224.6995028,201.2228969,212.4753819,211.1834474
0.5,196.3243494,176.5442873,186.0556014,185.9516287
0.7,171.975302,153.9429927,162.7894053,163.5981007
0.8,159.1579272,141.137899,150.0870849,151.3406182
0.9,143.3875917,124.2584325,133.9742544,135.7779183
0.95,131.9340622,110.8882492,121.7886089,124.0847132
0.98,120.8368398,96.9010421,109.0093964,112.0701114
0.99,114.3150932,88.05896917,100.8754341,104.6840625
