Year,Flow,Plotting_Position,Is_Outlier
1915,122,0.942857143,FALSE
1916,244,0.114285714,FALSE
1917,214,0.271428571,FALSE
1918,173,0.6,FALSE
1919,229,0.228571429,FALSE
1920,156,0.814285714,FALSE
1921,212,0.285714286,FALSE
1922,263,0.057142857,FALSE
1923,146,0.871428571,FALSE
1924,183,0.471428571,FALSE
1925,161,0.771428571,FALSE
1926,205,0.314285714,FALSE
1927,135,0.9,FALSE
1928,331,0.028571429,FALSE
1929,225,0.242857143,FALSE
1930,174,0.585714286,FALSE
1931,98.8,0.985714286,FALSE
1932,149,0.857142857,FALSE
1933,238,0.157142857,FALSE
1934,262,0.071428571,FALSE
1935,132,0.914285714,FALSE
1936,235,0.185714286,FALSE
1937,216,0.257142857,FALSE
1938,240,0.128571429,FALSE
1939,230,0.214285714,FALSE
1940,192,0.4,FALSE
1941,195,0.371428571,FALSE
1942,172,0.642857143,FALSE
1943,173,0.628571429,FALSE
1944,172,0.657142857,FALSE
1945,153,0.842857143,FALSE
1946,142,0.885714286,FALSE
1947,317,0.042857143,FALSE
1948,161,0.785714286,FALSE
1949,201,0.357142857,FALSE
1950,204,0.328571429,FALSE
1951,194,0.385714286,FALSE
1952,164,0.742857143,FALSE
1953,183,0.5,FALSE
1954,161,0.757142857,FALSE
1955,167,0.685714286,FALSE
1956,179,0.542857143,FALSE
1957,185,0.442857143,FALSE
1958,117,0.957142857,FALSE
1959,192,0.414285714,FALSE
1960,337,0.014285714,FALSE
1961,125,0.928571429,FALSE
1962,166,0.7,FALSE
1963,99.1,0.971428571,FALSE
1964,202,0.342857143,FALSE
1965,230,0.2,FALSE
1966,158,0.8,FALSE
1967,262,0.085714286,FALSE
1968,154,0.828571429,FALSE
1969,164,0.728571429,FALSE
1970,182,0.514285714,FALSE
1971,164,0.714285714,FALSE
1972,183,0.485714286,FALSE
1973,171,0.671428571,FALSE
1974,250,0.1,FALSE
1975,184,0.457142857,FALSE
1976,205,0.3,FALSE
1977,237,0.171428571,FALSE
1978,177,0.557142857,FALSE
1979,239,0.142857143,FALSE
1980,187,0.428571429,FALSE
1981,180,0.528571429,FALSE
1982,173,0.614285714,FALSE
1983,174,0.571428571,FALSE
