AEP,95.0% CI,5.0% CI,Posterior Predictive,Posterior Mode
1.00E-06,415167.0842,3617.68304,266712.2538,21591.71442
2.00E-06,289600.0482,3308.831347,165192.9556,17835.66853
5.00E-06,178766.0897,2936.605973,89160.42101,13728.04027
1.00E-05,123658.6264,2660.243597,56616.4155,11176.52828
2.00E-05,85008.75501,2388.935839,36322.7903,9033.324347
5.00E-05,51114.83182,2046.233029,20504.77528,6732.911039
0.0001,34237.18321,1792.394997,13444.87147,5333.595803
0.0002,22747.87013,1554.517655,8888.413377,4181.237468
0.0005,13172.11783,1268.016384,5199.366171,2975.318367
0.001,8608.71807,1062.600881,3488.513179,2262.837893
0.002,5525.387782,876.5757643,2348.794156,1692.439806
0.005,2972.497153,653.5394176,1391.985814,1117.385458
0.01,1819.165888,505.4854918,930.2906046,792.4756287
0.02,1087.452211,374.2615325,611.7165529,543.8761639
0.05,517.5190597,228.1097104,334.0462281,308.6076072
0.1,281.3217331,141.7161905,197.0264569,186.1572627
0.2,140.8941406,77.20931974,104.0076162,100.6812116
0.3,87.63028181,48.76934741,65.43847852,64.52409102
0.5,40.55399485,22.58925149,30.24749021,30.82596538
0.7,18.74594709,10.3378668,13.91259971,14.66857652
0.8,11.83475627,6.358664129,8.685034777,9.342123121
0.9,6.321993574,3.117073422,4.506247788,4.984940997
0.95,3.880923846,1.636391558,2.604567494,2.961216454
0.98,2.328250782,0.748886426,1.380545428,1.643987407
0.99,1.690925826,0.432267271,0.88614614,1.108994655
