AEP,95.0% CI,5.0% CI,Posterior Predictive,Posterior Mode
1.00E-06,454820.104,3814.000872,284973.3157,20918.35634
2.00E-06,317607.2647,3513.600015,177244.8635,17370.4402
5.00E-06,196384.6286,3117.210852,96057.91289,13463.11158
1.00E-05,135224.6814,2828.056969,61131.41999,11018.55685
2.00E-05,92185.22452,2541.295634,39283.93723,8952.529109
5.00E-05,55016.05755,2174.632191,22210.63169,6719.143006
0.0001,36984.90327,1908.015196,14575.70019,5350.672149
0.0002,24893.23859,1660.167283,9641.302417,4216.652717
0.0005,14421.88177,1350.816343,5641.684682,3021.328683
0.001,9309.09543,1130.687242,3784.633146,2309.843369
0.002,5997.244349,931.3187275,2546.698707,1736.598726
0.005,3246.616623,696.5578755,1507.472272,1154.400618
0.01,1992.929139,536.7961229,1006.586361,822.9351934
0.02,1190.433526,396.5593876,661.4637181,567.6513261
0.05,569.2119808,242.2167886,361.0861408,324.2188235
0.1,308.1048753,150.7775703,213.0267845,196.5107072
0.2,154.7028023,81.62339314,112.5580595,106.7549967
0.3,96.07998551,51.71224375,70.89380785,68.57425467
0.5,44.63655917,24.22378974,32.85018081,32.83065267
0.7,20.70966386,11.15573387,15.16068743,15.62293112
0.8,13.06845403,6.897140439,9.488114714,9.939913498
0.9,6.992803264,3.418776752,4.944264507,5.289727195
0.95,4.30749013,1.822056328,2.870981808,3.131790173
0.98,2.583567294,0.84362934,1.532366064,1.730040685
0.99,1.88284241,0.494198025,0.9895196,1.16233206
